Nombre,Direccion,Tipo,Tel,Fax
Plaza De La Salud,Avenida Ortega Y Gasset,HOSPITAL,809-565-7477,
Policia Nacional (Hosgepol),"Av,Independencia",HOSPITAL,809-533-1411,
Semma,Calle Jose Joaquin Perez Esq. Santiago,HOSPITAL,809-686-1503,
Docente Padre Billini,"Calle Santome No. 39, Ciudad Colonial",HOSPITAL,809-333-5656,000-000-0000
Dr. Luis Eduardo Aybar,"Calle Federico Velasquez No. 1, Maria Auxiliadora",HOSPITAL,809-681-2181,809-538-8541
San Luis,C/ Primera De Mayo #17 San Luis,HOSPITAL,809-222-0370,
Ramon de Lara,Carretera Mella Km 16,HOSPITAL,809-688-3333,
Villa Duarte,Av. Ulises Heureaux Edif. 7 Apto1-1 Calero Villa Duarte,HOSPITAL,809-597-7384,809-597-7384
Dr Marcelino Velez Santana,C/ Issabel Aguilar No. 141,HOSPITAL,809-560-6666,809-372-1607
Fuerza Armada,Av.Ortega Y Gasete Casi Esquina Kennedy,HOSPITAL,809-541-9339,
Salvador B Gautier,Alexander Fleming Esq. P Salcedo No. 10 Ensanche La Fe,HOSPITAL,809-565-3171,809-565-2600
Jacinto Ignacio Mañon,"Av. Republica De Colombia Esq Monumental, Los Peralejos",HOSPITAL,809-519-7844,000-000-0000
Santo Socorro,"Calle 28, Ens. La Fe,",HOSPITAL,809-566-3322,809-537-0990
Mata Hambre,"Calle Interior A # 13, Mata Hambre",HOSPITAL,809-533-3990,809-533-1277
Maternidad Nuestra Señora De La Altagracia,Av. Pedro Enrrique Ureña No. 49,HOSPITAL,809-686-6376,809-685-1336
Dr Francisco E Moscoso Puello,"Av. Nicolas De Ovando Esq. Josefa Brea, Ens. Luperon",HOSPITAL,809-681-7828,000-000-0000
Instituto Contra La Ceguera Por Glaucoma,Av. Nicolas De Ovando Esq. Ortega Y Gasset No. 7,HOSPITAL,809-333-4512,000-000-0000
Asociacion Dominicana De Rehabilitacion,Calle San Francisco De Macoris Esq. Leopoldo Navarro,HOSPITAL,809-688-6444,000-000-0000
Instituto Ayuda Al Sordo,"Calle 2 No 25, El Millon.",HOSPITAL,809-537-0707,809-918-8668
Marcelino Velez Santana,Avenida Isabell Aguiar Nu.141 Herrera,HOSPITAL,809-560-6666,
Engombe,"Calle Francisco Caamaño Deño, Entrando Por El Barrio Ivan Guzman",HOSPITAL,809-537-3666,809-537-3668
Los Alcarrizos Ii,C/ Gaviota #5 Los Americanos I,HOSPITAL,809-548-1952,000-000-0000
Centro Cristiano De Servicios Medicos,"Prolongacion Duarte, Barrio Los Alcarrizos (Frente A La Zona Franca)",HOSPITAL,809-545-3329,809-545-2888
"Tenedora Xavilone, S A (Centro De Atencion Ambulatoria Alma Ata)",Calle Aristides Garcia Gomez No. 10,HOSPITAL,809-338-0801,809-548-3178
Hacienda Estrella,Calle No. 13  Esq. Carretera Principal,HOSPITAL,809-240-3236,809-240-3475
Elvira Echavarria Vda Castillo (Guerra),Calle Carlos Manuel Pumarol,HOSPITAL,809-526-5442,809-526-5443
Rodolfo De La Cruz Lora,"Km 28 Autopista Duarte, Pedro Brand",HOSPITAL,809-559-8600,809-559-8382
La Victoria,"C/Altagracia # 1, La Victoria, Distrito Municipal",HOSPITAL,809-222-8188,809-222-8098
Boca Chica,C/San Andres #100 Despues De La Marina,HOSPITAL,809-523-4334,000-000-0000
N/A,REGION 0,ALTOS DE ARROYO HONDO,,
N/A,REGION 0,CENTRO DE LOS HÉROES,,
N/A,REGION 0,CRISTO REY,,
N/A,REGION 0,RESIDENCIAL ORTEGA Y GASSET,,
N/A,REGION 0,LA FERIA,,
N/A,REGION 0,CRISTO REY,,
N/A,REGION 0,CRISTO REY,,
N/A,REGION 0,VILLA CONSUELO,,
N/A,REGION 0,GASCUE,,
N/A,REGION 0,SIMÓN BOLIVAR,,
N/A,REGION 0,CRISTO REY,,
N/A,REGION 0,GASCUE,,
N/A,REGION 0,ENGOMBE,,
N/A,REGION 0,LAS CAOBAS,,
N/A,REGION 0,HERRERA,,
N/A,REGION 0,HERRERA,,
N/A,REGION 0,ENRIQUILLO,,
N/A,REGION 0,ENRIQUILLO,,
N/A,REGION 0,HERRERA,,
N/A,REGION 0,HERRERA,,
N/A,REGION 0,LIBERTADOR,,
N/A,REGION 0,HERRERA,,
N/A,REGION 0,HERRERA,,
N/A,REGION 0,CANCINO AFUERA,,
N/A,REGION 0,SAVICA,,
N/A,REGION 0,LOS PALMARES I,,
N/A,REGION 0,ALMA ROSA,,
Clinica Dr. Abel González,Av. Independencia  No. 101,,809-682-6001,809-685-8018
Centro De Obst. Y Ginecología,Av. Independencia No.451,,809-221-7100 ,809-688-5705
Inst. Mat. San Rafael,Av. Bolívar /García G,,809-688-5511 ,809-689-3902
Gastro- Diagnóstico,C/José J- Pérez - Bolivar,,809-682-4825/809221-4190,809-688-6691
Centro Méd. Avanzada Dr. Gónzalez,Abraham Lincoln No. 953,,809-227-2235,809-541-2303
"Diagnóstica, S.A.",C/ Lea De Castro No. 51,,809-688-5260,809-682-4390
Centro Oriental Ginec y Obst,Sabana Larga No. 123,,809-593-4386,809-594-3545
Centro Méd. Dominicano,C/ Luís F . Thomén,,809-531-2800,809-531-7513
Clinica Altagracia ,Sabana larga No. 96,,809-699-3494,809-699-3694
Centro Méd. Alcántara,Av. Ortega Y Gassett ,,809-566-2121 ,809-565-8528
Centro Médico Luperón,C/Pedro L. Cedeño,,809-684-3989,809-536-2528
Hospitén Santo Domingo,Av. Boliva/ Tiradentes,,809-541-3000,809-920-0355
Centro Médico Del Caribe,Av. 27 Febrero,CLINICA,809-685-9403,809-685-4626
Grupo Medico San Martin,San Martín No. 232,CLINICA,809-565-1777,809-472-2231
Clinica Dr. Rodriguez Santos,C/ Bartolomé Colón ,CLINICA,809-333-6671,809-948-9019
"Centro M.Universidad Central,UCE",Av. Máximo Gómez No.66,CLINICA,809-221-0171,809-688-9233
C. De Otorrinolaringología y Esp,Av. 27 Febrero,CLINICA,809-682-0151,NO USAR
Clinica Dr. Medrano,"Av. Las Plamas, Herrera",CLINICA,809-922-5944,809-922-4683
Inst. Cirugía Especializada,Av. Bolivar No. 208,CLINICA,809-688-3155,809-689-4638
Centro M. Corominas Pepín ,C/ Alirio Paulino,CLINICA,809-541-1400,809-563-1075
Centro M. Antillano,C/ Correa Y Cidrón No. 20,CLINICA,809-533-8445,809-533-7650
Centro Médico Real,Av. Rómulo Betancourt,CLINICA,809-537-3940,809-530-8821
Centro M. Escaño,Dr. Delgado No.2,CLINICA,809-687-2090,809-689-0148
Clinica Reno,Santo Tomás De Aquino,CLINICA,809-686-7777,809-686-8231
Centro M. Avanzada De Herrera,Ant. Carretera Duarte,CLINICA,809-561-8005,809-564-0534
Centro Médico Haina,"C/ Sánchez No. 49, Haina",CLINICA,809-237-3000,809-237-1996
Centro Policlinico Nacional,Guayubín Olivo No. 1,CLINICA,809-788-2323,809-596-9286
Centro Médico Moderno,Charles Summer Esq. J. López,CLINICA,809-548-3131,809-567-2129
Centro M. Vista del Jardin,C/ Rep. de Colombia/ Los Rios,CLINICA,809-563-9923 ,809-620-3415
Centro Quirurgíco Esculapio,C/ Mnl. Castillo No. 20 / Ga.,CLINICA,809-686-7290,809-682-9428
Clinica Independencia,Av Independencia No. 301,CLINICA,809-533-2775 ,809-534-7340
Clinica Dra. Evangelina Rodguez (Pro-Familía),Av. Nicolás de Ovando No. 16,CLINICA,809-684-3389,809-684-3856
C. M. Integral Santana Guzmán,"Av. Sabana Larga No. 30, ",CLINICA,809-788-1003,809-598-2111
Und. Rehabilitación Funcional,C/ Núñez Doguez No. 2 La Julia,CLINICA,809-535-2744,809-472-0999
clinica Abreu,Av Independencia No. 301,CLINICA,809-688-4411,809-688-8359*809-6874922
clinica integral 2,Carretera Mella ,CLINICA,809-788-6336,809-695-2688
Centro Medico Maria Dolores,AV sabana Larga,CLINICA,809-547-8601,809-728-3096
Centro Medco Universal,Club rotarios no. 58 Ensanche Ozama,CLINICA,809-594-6161,809-598-2223
Centro Medico Juan Carlos,Av. 25 de febrero no.144 las Americas,CLINICA,809-699-1111,809-699-0252
Clinica Pappy Fernnadez,AV.Pdrelivio Cedeño no.39 casi esq. Duarte,CLINICA,809-681-4877,
